y,x,intensity,type
562.0,1108.0,179.0,star
2112.0,1801.0,169.0,star
2471.0,744.0,192.0,star
1153.0,2056.0,175.0,star
1563.0,1772.0,161.0,star
1202.0,1815.0,177.0,star
1451.0,2506.0,181.0,star
1653.0,137.0,184.0,star
1661.0,1453.0,163.0,star
2410.0,1866.0,162.0,star
1215.0,271.0,184.0,star
2013.0,1757.0,167.0,star
1120.0,1009.0,199.0,star
1392.0,1151.0,177.0,star
1069.0,2302.0,190.0,star
2470.0,1594.0,177.0,star
1557.0,1824.0,163.0,star
1308.0,2296.0,173.0,star
2064.0,1946.0,185.0,star
1839.0,1620.0,157.0,star
1731.0,1832.0,163.0,star
1584.0,1169.0,192.0,star
2766.0,1328.0,170.0,star
1485.0,2082.0,175.0,star
677.0,929.0,167.0,star
2221.0,1604.0,167.0,star
148.0,1343.0,184.0,star
1428.0,1226.0,183.0,star
1659.0,1801.0,166.0,star
2411.0,1622.0,173.0,star
967.0,1334.0,176.0,star
1416.0,1099.0,188.0,star
2819.0,2898.0,187.0,star
303.0,1622.0,187.0,star
707.0,1167.0,186.0,star
1989.0,793.0,187.0,star
2426.0,1707.0,187.0,star
1273.0,1432.0,178.0,star
1347.0,1662.0,180.0,star
1963.0,1822.0,172.0,star
1410.0,1414.0,175.0,star
713.0,976.0,184.0,star
2056.0,1134.0,167.0,star
721.0,2199.0,184.0,star
1962.0,1728.0,165.0,star
2130.0,452.0,180.0,star
1867.0,1223.0,192.0,star
2147.0,1679.0,159.0,star
2203.0,1473.0,171.0,star
1841.0,1802.0,169.0,star
1470.0,241.0,186.0,star
2293.0,1503.0,185.0,star
1388.0,2372.0,179.0,star
1518.0,1886.0,168.0,star
982.0,918.0,164.0,star
1984.0,764.0,170.0,star
845.0,952.0,170.0,star
1398.0,759.0,166.0,star
1760.0,1896.0,162.0,star
1629.0,1469.0,164.0,star
1365.0,537.0,178.0,star
1353.0,1247.0,180.0,star
1844.0,1687.0,156.0,star
1858.0,1628.0,158.0,star
1183.0,1509.0,180.0,star
972.0,2447.0,171.0,star
1408.0,2014.0,180.0,star
2590.0,1563.0,192.0,star
1085.0,1327.0,170.0,star
2222.0,1749.0,161.0,star
1362.0,2440.0,169.0,star
1157.0,1518.0,181.0,star
2340.0,1341.0,186.0,star
1136.0,2277.0,175.0,star
1265.0,2530.0,178.0,star
1135.0,1508.0,168.0,star
973.0,2791.0,191.0,star
1386.0,1251.0,166.0,star
1175.0,2070.0,169.0,star
558.0,1097.0,182.0,star
1816.0,1797.0,164.0,star
1195.0,2262.0,177.0,star
1783.0,2447.0,159.0,star
2061.0,1799.0,164.0,star
1790.0,1885.0,160.0,star
2349.0,185.0,170.0,star
1269.0,2518.0,171.0,star
115.0,1379.0,198.0,star
1291.0,2446.0,167.0,star
721.0,2072.0,184.0,star
1173.0,1611.0,161.0,star
1347.0,1205.0,160.0,star
1783.0,208.0,182.0,star
1287.0,2518.0,175.0,star
829.0,2575.0,195.0,star
1189.0,1862.0,163.0,star
981.0,1060.0,168.0,star
2274.0,2824.0,189.0,star
307.0,14.0,172.0,star
1983.0,1868.0,159.0,star
2098.0,1755.0,179.0,star
2024.0,2149.0,167.0,star
1648.0,1835.0,162.0,star
736.0,1200.0,180.0,star
1518.0,1519.0,166.0,star
1339.0,2477.0,160.0,star
918.0,1109.0,174.0,star
1733.0,1503.0,159.0,star
878.0,2022.0,164.0,star
1262.0,2503.0,155.0,star
1992.0,1887.0,172.0,star
1027.0,2454.0,188.0,star
1507.0,1716.0,156.0,star
1239.0,2536.0,174.0,star
1840.0,2120.0,167.0,star
2376.0,599.0,179.0,star
728.0,1890.0,179.0,star
1356.0,1449.0,168.0,star
1996.0,1173.0,170.0,star
2103.0,1480.0,169.0,star
1676.0,2561.0,174.0,star
1414.0,2450.0,162.0,star
2009.0,853.0,178.0,star
1246.0,1540.0,178.0,star
1090.0,43.0,192.0,star
1121.0,1860.0,173.0,star
1298.0,1587.0,174.0,star
923.0,1139.0,167.0,star
2153.0,2153.0,167.0,star
1360.0,1570.0,153.0,star
2487.0,2080.0,185.0,star
2702.0,1795.0,186.0,star
2375.0,477.0,194.0,star
2237.0,1519.0,172.0,star
688.0,2377.0,187.0,star
1242.0,2423.0,180.0,star
